Saccharomyces cerevisiae,Rhodosporidium toruloides,CS,EL,Trees,phylome,ensembl,orthomcl,treefam,eggnog,hogenom
YBR228W,RHTO_04050,1,1,1,,,,,,
YPL078C,RHTO_05390,1,2,3,1.00/2,,,,,
YHR170W,RHTO_05841,1,2,3,1.00/2,,,,,
YML067C,RHTO_01532,1,2,5,1.00/4,,,,,
YKL060C,RHTO_03043,1,2,3,1.00/2,,,,,
YIL105C,RHTO_06926,1,2,3,1.00/2,,,,,
YGL248W,RHTO_01788,1,2,3,1.00/2,,,,,
YOL009C,RHTO_03822,1,1,1,,,,,,
YBR003W,RHTO_00464,0.667,1,3,1.00/2,,,,,
YOR316C,RHTO_06491,1,1,2,1.00/2,,,,,
YMR026C,RHTO_02724,1,2,3,1.00/2,,,,,
YJL099W,RHTO_06630,0.667,1,3,1.00/2,,,,,
YPL060W,RHTO_02485,0.6,1,5,0.75/4,,,,,
YBR088C,RHTO_05685,1,2,3,1.00/2,,,,,
YKL117W,RHTO_00370,1,2,3,1.00/2,,,,,
YER141W,RHTO_06903,1,2,3,1.00/2,,,,,
YNL069C,RHTO0S_15e04346g,1,2,3,1.00/2,,,,,
YBR280C,RHTO_02280,1,1,2,1.00/2,,,,,
YGR256W,RHTO_02788,1,2,3,1.00/2,,,,,
YFL028C,RHTO_06333,1,2,3,1.00/2,,,,,
YML035C,RHTO_00810,1,2,3,1.00/2,,,,,
YHR120W,RHTO_07987,0.714,2,7,0.67/6,,,,,
YFR044C,RHTO_06921,1,2,3,1.00/2,,,,,
YOL013C,RHTO_06927,1,2,3,1.00/2,,,,,
YDR285W,RHTO_05742,0.5,1,2,0.50/2,,,,,
YJL081C,RHTO_06848,0.909,1,11,1.00/10,,,,,
YPR042C,RHTO_02998,1,1,1,,,,,,
YPL265W,RHTO_07825,0.8,1,5,1.00/4,,,,,
YBR179C,RHTO_07758,1,2,3,1.00/2,,,,,
YLL019C,RHTO_00157,1,1,4,1.00/4,,,,,
YOR288C,RHTO_02270,1,1,1,,,,,,
YGR082W,RHTO_07795,1,2,3,1.00/2,,,,,
YNL307C,RHTO_06863,1,1,1,,,,,,
YNL131W,RHTO_07418,1,2,3,1.00/2,,,,,
YCL001W,RHTO_05560,0.667,1,3,1.00/2,,,,,
YJL071W,RHTO_05987,1,1,1,,,,,,
YML036W,RHTO_05792,1,1,1,,,,,,
YMR292W,RHTO_01337,1,2,3,1.00/2,,,,,
YBR269C,RHTO_07287,1,2,3,1.00/2,,,,,
YOR208W,RHTO_00353,1,1,1,,,,,,
YML077W,RHTO_06232,1,2,3,1.00/2,,,,,
YKL010C,RHTO_04204,0.667,1,3,1.00/2,,,,,
YOR317W,RHTO_04350,1,2,7,1.00/6,,,,,
YGL066W,RHTO_06279,1,1,1,,,,,,
YGL192W,RHTO_03801,1,2,3,1.00/2,,,,,
YBL082C,RHTO_01901,1,2,3,1.00/2,,,,,
YBL092W,RHTO_05103,1,2,3,1.00/2,,,,,
YIL156W-B,RHTO_06988,0.667,2,3,0.50/2,,,,,
YHR049W,RHTO_02604,0.667,1,3,1.00/2,,,,,
YOR021C,RHTO_06951,1,2,3,1.00/2,,,,,
YIL157C,RHTO_03493,1,1,1,,,,,,
YBR106W,RHTO_06410,1,2,3,1.00/2,,,,,
YNL245C,RHTO_00883,1,1,1,,,,,,
YMR118C,RHTO_00534,1,2,3,1.00/2,,,,,
YBR068C,RHTO_02350,1,1,4,1.00/4,,,,,
YNL021W,RHTO_05950,0.778,2,9,0.75/8,,,,,
YCR034W,RHTO_02657,1,2,3,1.00/2,,,,,
YLR243W,RHTO_07014,0.6,2,5,0.50/4,,,,,
YGL073W,RHTO_01429,1,1,1,,,,,,
YKL070W,RHTO_05586,1,1,1,,,,,,
YJR025C,RHTO_04617,0.667,1,3,1.00/2,,,,,
YMR097C,RHTO_07343,1,2,3,1.00/2,,,,,
YIL110W,RHTO_03074,1,2,3,1.00/2,,,,,
YNL035C,RHTO_02275,0.667,2,3,0.50/2,,,,,
YNL223W,RHTO_06646,1,1,1,,,,,,
YDL143W,RHTO_02881,1,2,19,1.00/18,,,,,
YOR226C,RHTO_06850,1,2,3,1.00/2,,,,,
YDR376W,RHTO_04491,1,2,3,1.00/2,,,,,
YLR085C,RHTO_06695,1,2,9,1.00/8,,,,,
YGR172C,RHTO_00894,1,2,3,1.00/2,,,,,
YAR015W,RHTO_04173,1,2,3,1.00/2,,,,,
YMR178W,RHTO_01159,1,1,1,,,,,,
YPL003W,RHTO_01502,1,2,3,1.00/2,,,,,
YLR372W,RHTO_02657,1,2,3,1.00/2,,,,,
YGR223C,RHTO_05587,1,2,5,1.00/4,,,,,
YDR129C,RHTO_01547,1,2,3,1.00/2,,,,,
YJR006W,RHTO_04796,1,2,3,1.00/2,,,,,
YEL026W,RHTO0S_15e04940g,0.6,2,5,0.50/4,,,,,
YHR004C,RHTO_01570,1,1,1,,,,,,
YBL019W,RHTO_00871,1,1,1,,,,,,
YPL191C,RHTO_00598,1,2,3,1.00/2,,,,,
YPL120W,RHTO_06355,1,2,3,1.00/2,,,,,
YGR173W,RHTO_07103,0.714,2,7,0.67/6,,,,,
YKL152C,RHTO_07773,1,2,3,1.00/2,,,,,
YHR013C,RHTO_07223,0.6,2,5,0.50/4,,,,,
YKR029C,RHTO_00561,1,1,1,,,,,,
YPL072W,RHTO_07340,0.5,1,2,0.50/2,,,,,
YEL013W,RHTO_06664,1,2,5,1.00/4,,,,,
YJR060W,RHTO_03442,1,1,1,,,,,,
YPL029W,RHTO_04801,1,2,3,1.00/2,,,,,
YPR167C,RHTO_06542,1,2,3,1.00/2,,,,,
YJR139C,RHTO_05802,1,2,3,1.00/2,,,,,
YOR304W,RHTO_00987,0.923,2,13,0.92/12,,,,,
YJR054W,RHTO_04249,1,1,1,,,,,,
YDL063C,RHTO_00042,1,1,1,,,,,,
YDR161W,RHTO_04680,1,2,3,1.00/2,,,,,
YGL039W,RHTO_03406,0.667,1,6,0.67/6,,,,,
YBR247C,RHTO_02162,1,2,3,1.00/2,,,,,
YML131W,RHTO_04747,1,2,3,1.00/2,,,,,
YBL030C,RHTO_05106,0.778,2,9,0.75/8,,,,,
YOR046C,RHTO_04678,1,2,11,1.00/10,,,,,
YOL027C,RHTO_03120,0.6,2,5,0.50/4,,,,,
YCR051W,RHTO_00386,1,2,3,1.00/2,,,,,
YNL229C,RHTO_07569,1,2,5,1.00/4,,,,,
YLR187W,RHTO_00404,1,1,1,,,,,,
YHR183W,RHTO_02788,1,2,3,1.00/2,,,,,
YER142C,RHTO_01707,1,1,1,,,,,,
YGL065C,RHTO_02687,1,2,3,1.00/2,,,,,
YKR026C,RHTO_03213,1,2,3,1.00/2,,,,,
YIL103W,RHTO_04758,0.6,2,5,0.50/4,,,,,
YDR117C,RHTO_03370,1,2,3,1.00/2,,,,,
YCL034W,RHTO_03581,1,1,1,,,,,,
YDR298C,RHTO_04427,1,2,3,1.00/2,,,,,
YDL052C,RHTO_06718,1,2,3,1.00/2,,,,,
YCL036W,RHTO_05108,1,1,1,,,,,,
YER027C,RHTO_05924,1,1,1,,,,,,
YLR362W,RHTO_06736,1,1,1,,,,,,
YGR034W,RHTO_02455,1,2,3,1.00/2,,,,,
YNL062C,RHTO_00428,1,2,3,1.00/2,,,,,
YDR375C,RHTO_04394,1,2,5,1.00/4,,,,,
YHR025W,RHTO_02013,1,2,3,1.00/2,,,,,
YGR012W,RHTO_06139,1,2,5,1.00/4,,,,,
YER099C,RHTO_04328,1,1,4,1.00/4,,,,,
YER169W,RHTO_01913,1,2,3,1.00/2,,,,,
YDL237W,RHTO_05933,1,1,1,,,,,,
YOR132W,RHTO_06543,1,2,3,1.00/2,,,,,
YMR077C,RHTO_02037,1,2,3,1.00/2,,,,,
YBR191W,RHTO0S_19e02322g,1,2,3,1.00/2,,,,,
YOL045W,RHTO_05112,1,1,1,,,,,,
YGR271W,RHTO_01211,0.6,2,5,0.50/4,,,,,
YNL016W,RHTO_05354,0.857,1,7,1.00/6,,,,,
YMR114C,RHTO_07431,1,1,1,,,,,,
YML019W,RHTO_04383,1,2,3,1.00/2,,,,,
YEL003W,RHTO_05269,1,2,3,1.00/2,,,,,
YPR145W,RHTO_02759,0.5,1,2,0.50/2,,,,,
YML094W,RHTO_04962,1,2,3,1.00/2,,,,,
YJR045C,RHTO_05796,0.846,2,13,0.83/12,,,,,
YOR149C,RHTO_04620,1,1,1,,,,,,
YDR424C,RHTO0S_01e15566g,1,2,3,1.00/2,,,,,
YJL218W,RHTO_03920,1,1,4,1.00/4,,,,,
YJL189W,RHTO_01933,1,2,3,1.00/2,,,,,
YDR441C,RHTO_05149,0.667,1,3,1.00/2,,,,,
YPL249C,RHTO_05427,0.8,2,5,0.75/4,,,,,
YML072C,RHTO_05174,0.8,1,5,1.00/4,,,,,
YJL180C,RHTO_02911,1,2,3,1.00/2,,,,,
YCR017C,RHTO_03843,0.667,1,3,1.00/2,,,,,
YKL094W,RHTO_03511,0.5,1,4,0.50/4,,,,,
YPL069C,RHTO_01660,1,1,2,1.00/2,,,,,
YGL243W,RHTO_05652,1,1,1,,,,,,
YNL200C,RHTO_00463,1,2,3,1.00/2,,,,,
YNL222W,RHTO_02433,1,2,3,1.00/2,,,,,
YGL205W,RHTO_03890,1,1,1,,,,,,
YKL146W,RHTO_03777,0.75,1,4,0.75/4,,,,,
YGL190C,RHTO_02277,1,2,3,1.00/2,,,,,
YOR224C,RHTO_05547,1,2,3,1.00/2,,,,,
YLL056C,RHTO_04070,1,2,3,1.00/2,,,,,
YNR015W,RHTO_00402,1,2,5,1.00/4,,,,,
YJL191W,RHTO_04216,1,2,3,1.00/2,,,,,
YDL014W,RHTO_01776,1,2,3,1.00/2,,,,,
YHR205W,RHTO_07033,1,2,15,1.00/14,,,,,
YMR127C,RHTO_07467,1,2,3,1.00/2,,,,,
YFR031C,RHTO_04507,1,2,7,1.00/6,,,,,
YPR051W,RHTO_02380,1,1,2,1.00/2,,,,,
YNR011C,RHTO_06689,1,1,10,1.00/10,,,,,
YKL021C,RHTO_04984,1,2,3,1.00/2,,,,,
YEL042W,RHTO_03994,0.8,1,5,1.00/4,,,,,
YKL132C,RHTO_03440,1,2,3,1.00/2,,,,,
YLR166C,RHTO_07225,1,2,3,1.00/2,,,,,
YDR236C,RHTO_01320,0.667,1,3,1.00/2,,,,,
YJR111C,RHTO_07993,1,1,2,1.00/2,,,,,
YKL101W,RHTO_05631,1,2,3,1.00/2,,,,,
YER131W,RHTO_05368,1,2,3,1.00/2,,,,,
YKR084C,RHTO_06992,0.889,2,9,0.88/8,,,,,
YBR118W,RHTO_05097,1,2,12,1.00/10,1.00/2,,,,
YBR086C,RHTO_01545,0.667,1,3,1.00/2,,,,,
YMR193W,RHTO_02296,1,2,3,1.00/2,,,,,
YIL021W,RHTO_05151,0.6,2,5,0.50/4,,,,,
YPL042C,RHTO_04139,0.909,2,11,0.90/10,,,,,
YDL177C,RHTO_07511,0.667,1,3,1.00/2,,,,,
YDR046C,RHTO_02350,1,1,4,1.00/4,,,,,
YOR197W,RHTO_01203,0.8,1,5,1.00/4,,,,,
YDR364C,RHTO_04023,1,2,3,1.00/2,,,,,
YDR189W,RHTO_01162,1,2,5,1.00/4,,,,,
YOR017W,RHTO_03471,1,2,3,1.00/2,,,,,
YER170W,RHTO_02749,1,2,7,1.00/6,,,,,
YDR507C,RHTO_05631,0.889,2,9,0.88/8,,,,,
YJL186W,RHTO_07662,1,1,1,,,,,,
YDR135C,RHTO_06288,1,1,18,1.00/18,,,,,
YCL004W,RHTO_04998,1,2,3,1.00/2,,,,,
YBR137W,RHTO_07099,1,1,1,,,,,,
YBL102W,RHTO_03378,1,2,3,1.00/2,,,,,
YHL040C,RHTO_01307,1,2,7,1.00/6,,,,,
YDL051W,RHTO_00234,1,1,1,,,,,,
YJR105W,RHTO_05920,1,2,3,1.00/2,,,,,
YJR122W,RHTO_07021,1,2,3,1.00/2,,,,,
YGR148C,RHTO_04048,0.8,1,5,1.00/4,,,,,
YDL003W,RHTO_04530,1,1,1,,,,,,
YOR210W,RHTO_00666,1,2,3,1.00/2,,,,,
YDR009W,RHTO_05737,1,2,3,1.00/2,,,,,
YHR098C,RHTO_02152,1,2,5,1.00/4,,,,,
YGL210W,RHTO_01102,0.957,1,23,1.00/22,,,,,
YNL265C,RHTO_00245,1,1,1,,,,,,
YDL087C,RHTO_03012,1,1,1,,,,,,
YMR244C-A,RHTO_02218,1,2,3,1.00/2,,,,,
YER052C,RHTO_08097,0.667,1,3,1.00/2,,,,,
YDR367W,RHTO_02119,1,1,2,1.00/2,,,,,
YOR222W,RHTO_03731,0.815,2,27,0.81/26,,,,,
YKL008C,RHTO_01531,1,2,5,1.00/4,,,,,
YPL054W,RHTO_00792,1,1,1,,,,,,
YBL079W,RHTO_06473,1,2,3,1.00/2,,,,,
YNL240C,RHTO_03836,1,2,3,1.00/2,,,,,
YFL038C,RHTO_06528,1,2,35,1.00/34,,,,,
YBR171W,RHTO_02754,1,1,1,,,,,,
YPL279C,RHTO_07837,1,2,3,1.00/2,,,,,
YDR440W,RHTO_07968,1,2,3,1.00/2,,,,,
YML025C,RHTO_04904,1,2,3,1.00/2,,,,,
YJR013W,RHTO_07768,0.667,1,3,1.00/2,,,,,
YNR031C,RHTO_07372,1,2,3,1.00/2,,,,,
YHL001W,RHTO_02373,1,2,3,1.00/2,,,,,
YKR068C,RHTO_01193,1,2,3,1.00/2,,,,,
YJR158W,RHTO_00630,0.923,1,13,1.00/12,,,,,
YPL031C,RHTO_01208,0.913,2,23,0.91/22,,,,,
YGL195W,RHTO_04928,1,2,3,1.00/2,,,,,
YHR131C,RHTO_00741,1,1,1,,,,,,
YDR414C,RHTO_04560,1,2,3,1.00/2,,,,,
YKL049C,RHTO_05654,1,1,6,1.00/6,,,,,
YBL087C,RHTO0S_04e02102g,0.667,2,6,0.50/4,1.00/2,,,,
YOL139C,RHTO_06589,1,2,7,1.00/6,,,,,
YKR079C,RHTO_01450,1,2,3,1.00/2,,,,,
YPL057C,RHTO_01969,1,1,1,,,,,,
YDR214W,RHTO_03144,1,2,3,1.00/2,,,,,
YKR094C,RHTO_03705,0.5,1,6,0.75/4,0.00/2,,,,
YNL132W,RHTO_06431,1,2,3,1.00/2,,,,,
YDL025C,RHTO_05632,1,2,3,1.00/2,,,,,
YBR127C,RHTO_04258,0.889,1,9,1.00/8,,,,,
YDL193W,RHTO_06594,1,1,1,,,,,,
YOR238W,RHTO_05362,1,1,1,,,,,,
YDL185W,RHTO_02974,0.8,1,5,1.00/4,,,,,
YDL225W,RHTO_08031,0.7,1,10,0.70/10,,,,,
YLR105C,RHTO_02118,1,2,3,1.00/2,,,,,
YLR097C,RHTO_02188,1,2,3,1.00/2,,,,,
YFL013C,RHTO_05786,1,1,1,,,,,,
YER157W,RHTO_06582,1,1,1,,,,,,
YER069W,RHTO_01392,1,2,3,1.00/2,,,,,
YPR102C,RHTO_05617,1,2,3,1.00/2,,,,,
YAL029C,RHTO_00557,1,1,8,1.00/8,,,,,
YKL029C,RHTO_07218,0.8,1,5,1.00/4,,,,,
YLL011W,RHTO_07013,1,2,3,1.00/2,,,,,
YMR121C,RHTO_04839,1,2,3,1.00/2,,,,,
YPL046C,RHTO0S_01e00914g,1,1,1,,,,,,
YNL288W,RHTO_02291,1,2,3,1.00/2,,,,,
YOL152W,RHTO_06556,0.909,1,11,1.00/10,,,,,
YPL119C,RHTO_04741,0.95,1,20,0.95/20,,,,,
YNL169C,RHTO_07534,1,1,2,1.00/2,,,,,
YLR074C,RHTO_04217,1,2,3,1.00/2,,,,,
YBR097W,RHTO_00351,1,2,3,1.00/2,,,,,
YGL135W,RHTO_05301,1,2,6,1.00/4,1.00/2,,,,
YGL136C,RHTO_04443,1,1,1,,,,,,
YIL124W,RHTO_03193,0.938,1,16,0.94/16,,,,,
YPL155C,RHTO_01024,0.857,2,7,0.83/6,,,,,
YNR027W,RHTO_07984,1,2,3,1.00/2,,,,,
YNL320W,RHTO_05212,1,1,4,1.00/4,,,,,
YGL112C,RHTO_03024,1,2,3,1.00/2,,,,,
YGL104C,RHTO_00839,1,1,2,1.00/2,,,,,
YDR194C,RHTO_06682,1,1,2,1.00/2,,,,,
YGR019W,RHTO_00202,0.556,2,9,0.50/8,,,,,
YPR021C,RHTO_04513,0.867,1,15,0.93/14,,,,,
YOR180C,RHTO_06842,1,1,1,,,,,,
YEL052W,RHTO_07204,1,2,3,1.00/2,,,,,
YDR140W,RHTO_01642,1,2,3,1.00/2,,,,,
YNL063W,RHTO_04081,1,2,3,1.00/2,,,,,
YBR219C,RHTO_07603,1,1,1,,,,,,
YLR326W,RHTO_04288,1,1,2,1.00/2,,,,,
YNL030W,RHTO_01981,1,1,4,1.00/4,,,,,
YGL119W,RHTO_03730,1,2,3,1.00/2,,,,,
YBR177C,RHTO_03216,1,1,1,,,,,,
YDR147W,RHTO_05278,1,2,3,1.00/2,,,,,
YBR011C,RHTO_00177,1,2,3,1.00/2,,,,,
YPL157W,RHTO_04327,1,2,3,1.00/2,,,,,
YOR215C,RHTO_02442,1,1,2,1.00/2,,,,,
YMR076C,RHTO_01442,1,2,3,1.00/2,,,,,
YOR278W,RHTO_03383,1,2,3,1.00/2,,,,,
YDR096W,RHTO_01913,1,2,3,1.00/2,,,,,
YDR237W,RHTO_06704,1,2,3,1.00/2,,,,,
YDL058W,RHTO_01897,1,1,2,1.00/2,,,,,
YGL105W,RHTO_00757,1,2,3,1.00/2,,,,,
YBL029C-A,RHTO_04239,1,1,2,1.00/2,,,,,
YDL174C,RHTO_06352,0.5,1,4,0.50/4,,,,,
YOR126C,RHTO_02861,1,1,1,,,,,,
YNR019W,RHTO_00726,0.5,1,2,0.50/2,,,,,
YAL035W,RHTO_00975,1,2,3,1.00/2,,,,,
YDR297W,RHTO_02938,1,2,5,1.00/4,,,,,
YNL141W,RHTO_05597,1,1,1,,,,,,
YML013W,RHTO_01331,1,1,1,,,,,,
YJL137C,RHTO_05749,1,1,1,,,,,,
YJR052W,RHTO_08095,0.667,2,3,0.50/2,,,,,
YIL041W,RHTO0S_25e00738g,1,2,3,1.00/2,,,,,
YIR005W,RHTO_01612,1,2,3,1.00/2,,,,,
YHR026W,RHTO_01541,1,2,3,1.00/2,,,,,
YKL068W,RHTO_00735,1,1,1,,,,,,
YGR124W,RHTO_02759,0.5,1,2,0.50/2,,,,,
YGL014W,RHTO_05338,0.6,2,5,0.50/4,,,,,
YHR094C,RHTO_00630,0.889,1,9,1.00/8,,,,,
YML092C,RHTO_01032,0.923,2,13,0.92/12,,,,,
YKR082W,RHTO_02857,1,1,1,,,,,,
YHR161C,RHTO_06280,1,1,1,,,,,,
YLR083C,RHTO_06146,1,1,1,,,,,,
YBR276C,RHTO_00303,1,1,1,,,,,,
YBR196C,RHTO_04058,1,2,3,1.00/2,,,,,
YIL064W,RHTO_03724,1,1,2,1.00/2,,,,,
YLR058C,RHTO_04131,0.667,1,3,1.00/2,,,,,
YJL136C,RHTO0S_05e04896g,1,2,3,1.00/2,,,,,
YJR062C,RHTO_00772,1,1,1,,,,,,
YDR152W,RHTO_03299,1,1,1,,,,,,
YMR119W,RHTO_03766,1,1,1,,,,,,
YDR165W,RHTO_05942,1,2,3,1.00/2,,,,,
YDR374C,RHTO_03143,1,1,1,,,,,,
YOR141C,RHTO_05945,1,2,3,1.00/2,,,,,
YKL080W,RHTO_04163,1,2,3,1.00/2,,,,,
YLL018C-A,RHTO_02886,1,2,3,1.00/2,,,,,
YGR201C,RHTO_03922,1,2,3,1.00/2,,,,,
YGL207W,RHTO_01324,1,2,3,1.00/2,,,,,
YER166W,RHTO_01435,1,1,6,1.00/6,,,,,
YOL133W,RHTO0S_04e04214g,0.6,2,5,0.50/4,,,,,
YOL121C,RHTO_05130,1,2,3,1.00/2,,,,,
YDR270W,RHTO_02966,0.6,2,5,0.50/4,,,,,
YAL012W,RHTO_01498,1,2,5,1.00/4,,,,,
YFR022W,RHTO_06169,1,1,1,,,,,,
YGL133W,RHTO_01644,1,1,1,,,,,,
YDR192C,RHTO_01180,1,1,1,,,,,,
YJL056C,RHTO_02703,1,1,1,,,,,,
YPL172C,RHTO_04291,0.667,1,3,1.00/2,,,,,
YDR514C,RHTO_05108,1,1,1,,,,,,
YMR056C,RHTO_05106,0.714,2,7,0.67/6,,,,,
YNL056W,RHTO_03208,1,1,1,,,,,,
YOR069W,RHTO_00766,1,2,3,1.00/2,,,,,
YPL010W,RHTO_02479,1,2,3,1.00/2,,,,,
YIR012W,RHTO_01523,1,2,3,1.00/2,,,,,
YGL242C,RHTO_00308,1,2,3,1.00/2,,,,,
YPR072W,RHTO_02406,1,2,3,1.00/2,,,,,
YNL047C,RHTO_06926,1,2,3,1.00/2,,,,,
YHR194W,RHTO_01156,1,2,3,1.00/2,,,,,
YOR310C,RHTO_04178,1,2,5,1.00/4,,,,,
YGR262C,RHTO_05065,1,2,3,1.00/2,,,,,
YBR135W,RHTO_03172,1,2,3,1.00/2,,,,,
YGL011C,RHTO_03491,1,2,13,1.00/12,,,,,
YKL143W,RHTO_00893,1,1,1,,,,,,
YHR096C,RHTO_00630,0.923,1,13,1.00/12,,,,,
YMR110C,RHTO0S_21e01882g,0.667,1,3,1.00/2,,,,,
YLL024C,RHTO_07842,0.933,2,15,0.93/14,,,,,
YMR001C,RHTO_02243,0.818,1,11,0.90/10,,,,,
YOR033C,RHTO_02300,1,1,1,,,,,,
YIL020C,RHTO_00551,1,2,3,1.00/2,,,,,
YDR356W,RHTO_01024,0.5,1,2,0.50/2,,,,,
YML034W,RHTO_02770,1,2,3,1.00/2,,,,,
YGR100W,RHTO_02665,0.6,2,5,0.50/4,,,,,
YHR208W,RHTO_08045,0.667,2,3,0.50/2,,,,,
YJL090C,RHTO_07500,1,1,1,,,,,,
YGR200C,RHTO_07044,1,2,3,1.00/2,,,,,
YBR213W,RHTO_01915,1,2,3,1.00/2,,,,,
YIL096C,RHTO_06011,1,2,3,1.00/2,,,,,
YLR410W,RHTO_06799,1,2,3,1.00/2,,,,,
YIL004C,RHTO_07277,1,2,3,1.00/2,,,,,
YDL042C,RHTO_05957,1,2,3,1.00/2,,,,,
YOR001W,RHTO_02258,1,1,1,,,,,,
YOR125C,RHTO_01107,1,2,3,1.00/2,,,,,
YJL091C,RHTO_01266,1,2,3,1.00/2,,,,,
YHR165C,RHTO_02797,0.667,1,3,1.00/2,,,,,
YER019W,RHTO_00160,1,2,3,1.00/2,,,,,
YNL124W,RHTO_00529,1,1,1,,,,,,
YFR037C,RHTO_08119,0.667,1,3,1.00/2,,,,,
YKR044W,RHTO_05566,1,1,2,1.00/2,,,,,
YHR116W,RHTO_02265,1,1,2,1.00/2,,,,,
YLR246W,RHTO_05469,1,1,1,,,,,,
YJR152W,RHTO_02354,1,2,3,1.00/2,,,,,
YEL055C,RHTO_02917,0.667,1,3,1.00/2,,,,,
YMR017W,RHTO_04868,1,2,3,1.00/2,,,,,
YFL050C,RHTO_04625,1,1,1,,,,,,
YHL010C,RHTO_04200,0.667,1,3,1.00/2,,,,,
YLR438C-A,RHTO_05311,1,2,3,1.00/2,,,,,
YOR384W,RHTO_00765,0.875,1,8,0.88/8,,,,,
YEL031W,RHTO_07284,0.8,1,5,1.00/4,,,,,
YPL023C,RHTO_03105,1,2,5,1.00/4,,,,,
YBR187W,RHTO_06258,1,2,3,1.00/2,,,,,
YKL116C,RHTO_02667,1,1,1,,,,,,
YLR340W,RHTO_02232,1,2,3,1.00/2,,,,,
YMR234W,RHTO_03056,0.667,1,3,1.00/2,,,,,
YDL060W,RHTO_02676,0.667,1,3,1.00/2,,,,,
YBL068W,RHTO_04328,1,1,4,1.00/4,,,,,
YDR047W,RHTO_03490,0.667,1,3,1.00/2,,,,,
YOR161C,RHTO_04601,1,2,3,1.00/2,,,,,
YMR267W,RHTO_00177,0.5,1,2,0.50/2,,,,,
YKL206C,RHTO_05400,1,1,1,,,,,,
YDL219W,RHTO_05018,1,2,3,1.00/2,,,,,
YGL022W,RHTO_02269,1,2,3,1.00/2,,,,,
YJR032W,RHTO_05872,0.75,1,12,0.75/12,,,,,
YMR095C,RHTO_04320,1,2,3,1.00/2,,,,,
YML080W,RHTO_00013,1,2,7,1.00/6,,,,,
YJR133W,RHTO_04846,1,2,3,1.00/2,,,,,
YJR064W,RHTO_00615,1,2,17,1.00/16,,,,,
YHL013C,RHTO_06832,1,2,3,1.00/2,,,,,
YMR278W,RHTO_01766,0.6,2,5,0.50/4,,,,,
YOL073C,RHTO_07342,1,1,1,,,,,,
YNR017W,RHTO_04570,1,1,1,,,,,,
YPL092W,RHTO_07681,1,2,3,1.00/2,,,,,
YGR257C,RHTO_06590,1,2,5,1.00/4,,,,,
YNL083W,RHTO_03885,1,1,1,,,,,,
YLR152C,RHTO_08026,1,1,1,,,,,,
YDL065C,RHTO_00442,1,1,1,,,,,,
YDR331W,RHTO_00791,1,2,3,1.00/2,,,,,
YNR013C,RHTO_01558,1,2,3,1.00/2,,,,,
YJR121W,RHTO_03206,0.778,2,9,0.75/8,,,,,
YER146W,RHTO_06587,0.6,2,5,0.50/4,,,,,
YKR058W,RHTO_05749,1,1,1,,,,,,
YOR252W,RHTO_04965,1,1,2,1.00/2,,,,,
YDR243C,RHTO_00255,0.923,1,13,1.00/12,,,,,
YDL168W,RHTO_03559,0.933,2,15,0.93/14,,,,,
YGL004C,RHTO_01857,1,1,1,,,,,,
YDL203C,RHTO_05806,0.5,1,4,0.50/4,,,,,
YDL146W,RHTO_07830,1,1,1,,,,,,
YOL113W,RHTO_03732,0.941,2,17,0.94/16,,,,,
YCR044C,RHTO_02677,1,2,3,1.00/2,,,,,
YGR027C,RHTO_02403,1,2,3,1.00/2,,,,,
YBL078C,RHTO_06526,0.667,1,3,1.00/2,,,,,
YLR215C,RHTO_02412,1,2,3,1.00/2,,,,,
YMR231W,RHTO_07149,1,2,3,1.00/2,,,,,
YNL310C,RHTO_04188,1,2,3,1.00/2,,,,,
YLR001C,RHTO_03484,1,1,2,1.00/2,,,,,
YAL034W-A,RHTO_06225,1,2,3,1.00/2,,,,,
YPL012W,RHTO_01321,0.667,1,3,1.00/2,,,,,
YKL149C,RHTO_02675,1,2,3,1.00/2,,,,,
YKL051W,RHTO_01464,1,1,1,,,,,,
YKR076W,RHTO_00710,0.5,1,4,0.50/4,,,,,
YLL010C,RHTO_05386,1,1,1,,,,,,
YOR290C,RHTO_07938,0.818,2,11,0.80/10,,,,,
YMR274C,Phy006EUSY,1,1,2,1.00/2,,,,,
YGL167C,RHTO_04826,1,2,13,1.00/12,,,,,
YDL085W,RHTO_07075,1,1,2,1.00/2,,,,,
YCL032W,RHTO_02140,1,2,3,1.00/2,,,,,
YDR221W,RHTO_06958,1,1,2,1.00/2,,,,,
YLR417W,RHTO_03717,1,1,1,,,,,,
YOR147W,RHTO_01156,1,2,3,1.00/2,,,,,
YBR268W,RHTO_01385,1,1,2,1.00/2,,,,,
YFR010W,RHTO_03756,1,2,3,1.00/2,,,,,
YHR016C,RHTO_00699,1,1,4,1.00/4,,,,,
YOR006C,RHTO_05861,1,2,3,1.00/2,,,,,
YIL066C,RHTO_06445,0.667,1,3,1.00/2,,,,,
YKL001C,RHTO0S_04e07514g,1,2,3,1.00/2,,,,,
YPL273W,RHTO_00071,0.667,1,3,1.00/2,,,,,
YDL086W,RHTO_04791,1,1,1,,,,,,
YAL024C,RHTO_03352,1,1,1,,,,,,
YBR229C,RHTO_06958,1,2,7,1.00/6,,,,,
YLL050C,RHTO_07596,0.667,1,3,1.00/2,,,,,
YBR296C,RHTO_01284,1,1,2,1.00/2,,,,,
YNL271C,RHTO_02449,0.667,1,3,1.00/2,,,,,
