reaction	reactionName	A120	A100	A80	A60	G120	G100	G80	G60	X120	X100	X80	X60
r_0973	ribonucleoside-triphosphate reductase (UTP)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0974	ribonucleotide reductase	0.000030	0.000013	0.000018	0.000022	0.000007	0.000034	0.000037	0.000049	0.000000	0.000001	0.000194	0.000324
r_0975	ribonucleotide reductase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0976	ribonucleotide reductase	0.000050	0.000372	0.000516	0.000643	0.000186	0.000972	0.001068	0.001398	0.000005	0.000042	0.000323	0.000540
r_0977	ribonucleotide reductase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0978	ribonucleotide reductase	0.000020	0.000149	0.000206	0.000257	0.000074	0.000389	0.000427	0.000559	0.000002	0.000017	0.000129	0.000216
r_0979	ribonucleotide reductase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0982	ribose-5-phosphate isomerase	0.037944	0.075175	0.020680	0.201583	0.006939	0.041373	0.046703	0.075623	0.012591	0.114055	1.310461	1.703572
r_0983	ribosylnicotinamide kinase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0984	ribulose 5-phosphate 3-epimerase	0.070364	0.108551	-0.020850	0.326411	-0.007000	-0.041694	-0.047056	-0.076085	0.008888	0.074948	0.673119	0.995476
r_0985	S-adenosyl-L-methionine:3-hexaprenyl-4,5-dihydroxylate O-methyltransferase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0986	S-adenosyl-methionine delta-24-sterol-c-methyltransferase	0.000614	0.003451	0.004524	0.004053	0.001894	0.011790	0.009660	0.011867	0.000067	0.000487	0.003090	0.004183
r_0987	S-formylglutathione hydralase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0988	saccharopine dehydrogenase (NAD, L-lysine forming)	0.001469	0.011252	0.018276	0.022309	0.005613	0.039001	0.045206	0.086589	0.000089	0.001778	0.013097	0.020873
r_0989	saccharopine dehydrogenase (NADP, L-glutamate forming)	0.001469	0.011252	0.018276	0.022309	0.005613	0.039001	0.045206	0.086589	0.000089	0.001778	0.013097	0.020873
r_0990	sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002348	0.030003	0.533887	0.485205
r_0992	serine O-acetyltransferase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0993	serine palmitotransferase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0995	seryl-tRNA synthetase	0.000951	0.007286	0.011835	0.014446	0.003635	0.025255	0.029273	0.056070	0.000057	0.001152	0.008481	0.013516
r_0996	shikimate dehydrogenase	0.001357	0.010392	0.016879	0.020604	0.005184	0.036019	0.041750	0.079969	0.000082	0.001642	0.012096	0.019278
r_0997	shikimate kinase	0.001357	0.010392	0.016879	0.020604	0.005184	0.036019	0.041750	0.079969	0.000082	0.001642	0.012096	0.019278
r_0998	sirohydrochlorin dehydrogenase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0999	sirohydrochlorin ferrochetalase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1000	fumarate reductase (FMN)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1001	spermidine synthase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1002	spermine synthase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1003	sphinganine phosphate lyase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1004	sphingoid base-phosphate phosphatase (phytosphingosine 1-phosphate)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1005	sphingoid base-phosphate phosphatase (sphinganine 1-phosphatase)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1006	sphingolipid long chain base kinase (phytosphingosine)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1007	sphingolipid long chain base kinase (sphinganine)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1010	squalene epoxidase (NAD)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1011	squalene epoxidase (NADP)	0.000614	0.003451	0.004524	0.004053	0.001894	0.011790	0.009660	0.011867	0.000067	0.000487	0.003090	0.004183
r_1012	squalene synthase	0.000614	0.003451	0.004524	0.004053	0.001894	0.011790	0.009660	0.011867	0.000067	0.000487	0.003090	0.004183
r_1021	succinate dehydrogenase (ubiquinone-6)	0.288072	1.588006	2.643547	1.924764	0.335281	-0.000001	0.048817	-0.000002	0.001021	0.027299	0.573928	0.311657
r_1022	succinate-CoA ligase (ADP-forming)	0.024344	1.037461	1.938671	0.747313	0.021587	0.000000	0.030682	0.000000	0.000940	0.026586	0.000000	0.000000
r_1023	succinate-semialdehyde dehydrogenase (NADP)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1024	sucrose hydrolyzing enxyme	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1025	sulfate adenylyltransferase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1026	sulfate adenylyltransferase (ADP)	0.000294	0.002250	0.003654	0.004460	0.001122	0.007797	0.009038	0.017311	0.000018	0.000356	0.002618	0.004173
r_1027	sulfite reductase (NADPH2)	0.000294	0.002250	0.003654	0.004460	0.001122	0.007797	0.009038	0.017311	0.000018	0.000356	0.002618	0.004173
r_1028	taurcholate via ABC system	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1029	taurine dioxygenase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1030	tetrahydrofolate aminomethyltransferase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1031	tetrahydrofolate:L-glutamate gamma-ligase (ADP-forming)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1032	thiamin diphosphatase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1033	thiamin phosphatase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1034	thiamine diphosphokinase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1035	thiamine-diphosphate kinase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1036	thiamine-phosphate diphosphorylase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1038	thioredoxin reductase (NADPH)	0.000393	0.002994	0.004686	0.005745	0.001494	0.009741	0.011174	0.020107	0.000027	0.000440	0.003265	0.005253
r_1039	thioredoxin reductase (NADPH)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1040	threonine aldolase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1041	threonine synthase	0.001938	0.014839	0.024102	0.029421	0.007402	0.051433	0.059617	0.114191	0.000117	0.002345	0.017272	0.027527
r_1042	threonyl-tRNA synthetase	0.000982	0.007523	0.012219	0.014915	0.003753	0.026075	0.030224	0.057891	0.000059	0.001189	0.008756	0.013955
r_1043	threonyl-tRNA synthetase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1045	thymidylate synthase	0.000030	0.000223	0.000310	0.000386	0.000112	0.000583	0.000641	0.000839	0.000003	0.000025	0.000194	0.000324
r_1046	trans-aconitate 3-methyltransferase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1047	trans-pentaprenyltranstransferase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1048	transaldolase	0.035861	0.059471	-0.001986	0.173507	-0.000908	-0.002837	-0.002653	0.001942	0.010059	0.082111	0.761825	1.194068
r_1049	transketolase 1	0.035861	0.059471	-0.001986	0.173507	-0.000908	-0.002837	-0.002653	0.001942	0.012408	0.112114	1.295712	1.679274
r_1050	transketolase 2	0.034504	0.049079	-0.018864	0.152904	-0.006092	-0.038856	-0.044403	-0.078027	0.012326	0.110471	1.283616	1.659996
r_1051	trehalose-phosphatase	0.000460	0.006097	0.007927	0.013655	0.002899	0.006320	0.013389	0.006262	0.000048	0.000187	0.003276	0.008245
r_1054	triose-phosphate isomerase	-0.049582	-0.206262	-0.191253	-0.477006	0.932872	5.008754	5.940217	13.023101	0.002031	0.027690	0.519204	0.465337
r_1055	tryptophan synthase (indoleglycerol phosphate)	0.000146	0.001118	0.001816	0.002217	0.000558	0.003876	0.004493	0.008606	0.000009	0.000177	0.001302	0.002075
r_1056	tryptophan transaminase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1057	tryptophanyl-tRNA synthetase	0.000146	0.001118	0.001816	0.002217	0.000558	0.003876	0.004493	0.008606	0.000009	0.000177	0.001302	0.002075
r_1058	tryptophanyl-tRNA synthetase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1063	tyrosine transaminase	0.000000	0.004009	0.006511	0.007948	0.000000	0.013895	0.000000	0.030850	0.000032	0.000634	0.000000	0.000000
r_1065	tyrosine transaminase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1066	tyrosyl-tRNA synthetase	0.000523	0.004009	0.006511	0.007948	0.002000	0.013895	0.016106	0.030850	0.000032	0.000634	0.004666	0.007437
r_1067	tyrosyl-tRNA synthetase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1068	UDP-glucose:ergosterol glucosyltransferase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1069	UDP-N-acetylglucosamine diphosphorylase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1070	UDPglucose 4-epimerase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1071	UDPglucose--hexose-1-phosphate uridylyltransferase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1072	UMP kinase	0.000388	0.002912	0.004040	0.005031	0.001456	0.007610	0.008362	0.010945	0.000038	0.000329	0.002532	0.004228
r_1073	UMP kinase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1074	uracil phosphoribosyltransferase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1075	urea carboxylase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1076	ureidoglycolate hydrolase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1077	uridine kinase (ATP:uridine)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1078	uridine kinase (GTP:uridine)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1079	uridylate kinase (dUMP)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1080	uridylate kinase (dUMP)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1081	uroporphyrinogen decarboxylase (uroporphyrinogen III)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1082	uroporphyrinogen methyltransferase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1083	uroporphyrinogen-III synthase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1084	UTP-glucose-1-phosphate uridylyltransferase	0.005425	0.071861	0.093428	0.160948	0.034169	0.074489	0.157808	0.073801	0.000563	0.002200	0.038617	0.097183
r_1085	V-ATPase, Golgi	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1086	V-ATPase, vacuole	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1087	valine transaminase	0.001521	0.011652	0.018925	0.023101	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1088	valine transaminase, mitochondiral	-0.002880	-0.022053	-0.035818	-0.043722	-0.005188	-0.036049	-0.041785	-0.080035	-0.000082	-0.001644	-0.012106	-0.019293
r_1089	valyl-tRNA synthetase	0.001358	0.010401	0.016893	0.020621	0.005188	0.036049	0.041785	0.080035	0.000082	0.001644	0.012106	0.019293
r_1090	valyl-tRNA synthetase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1091	xanthine phosphoribosyltransferase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1092	xylitol dehydrogenase (D-xyulose-forming)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.015846	0.147637	1.906209	2.343794
r_1093	xylose reductase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.017241	0.164336	2.594055	3.453143
r_1094	xylulokinase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.015846	0.147637	1.906209	2.343794
r_1095	yUMP synthetase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1096	(R)-mevalonate transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1097	(R,R)-butanediol transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1099	2-oxoadipate and 2-oxoglutarate transport	0.001469	0.011252	0.018276	0.022309	0.005613	0.039001	0.045206	0.086589	0.000089	0.001778	0.013097	0.020873
r_1100	3-hexaprenyl-4,5-dihydroxybenzoate transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1101	4-aminobutyrate transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1102	5-aminolevulinate transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1103	5-formyltetrahydrofolic acid transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1104	8-Amino-7-oxononanoate transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1106	acetate transport	-0.512667	-2.884899	-4.343820	-4.020462	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1107	acetic ester transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1108	adenine transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1109	adenosine transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1110	ADP/ATP transporter	1.362200	10.706032	18.558075	11.773984	6.054155	16.146473	26.201238	48.501354	0.129266	1.465904	16.459378	17.616291
r_1111	ADP/ATP transporter	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1112	AKG transporter, mitochonrial	0.292460	1.621739	2.661078	1.993257	0.655487	1.711110	1.759610	2.161567	0.012167	0.088716	1.131319	1.064428
r_1113	allantoate uniport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1114	allantoin uniport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1115	ammonia transport	0.031284	0.237191	0.373659	0.455865	0.118567	1.558138	0.897995	5.784530	0.002135	0.035453	0.262143	0.452844
r_1116	AMP/ATP transporter	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1118	aspartate-glutamate transporter	0.013795	0.055786	0.107636	0.169013	0.697739	2.382873	5.579796	13.171838	0.019036	0.221471	3.627060	4.147276
r_1119	biotin uptake	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1120	carnithine-acetylcarnithine carrier	0.293929	1.632991	2.718110	2.015566	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1121	ceramide-2' (sphinganine:n-C24:0OH) transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1122	ceramide-2' (sphinganine:n-C26:0OH) transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1123	ceramide-3 (Phytosphingosine:n-C24:0OH) transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1124	ceramide-3 (Phytosphingosine:n-C26:0OH) transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1125	choline transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1126	citrate transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1127	citrate transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1128	citrate transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1129	coenzyme A transport	0.000000	0.000000	0.000000	0.000000	0.011362	0.070739	0.057960	0.071200	0.000401	0.002922	0.018541	0.025098
r_1130	CTP transport	0.000021	0.000119	0.000156	0.000139	0.000065	0.000390	0.000320	0.000393	0.000002	0.000017	0.000104	0.000138
r_1131	CTP/CMP antiport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1132	cytidine transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1133	cytosine transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1134	D-fructose transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1135	D-galactose transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1136	D-lactate transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1137	D-lactate transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1138	D-lactate/pyruvate antiport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1139	D-mannose transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1146	episterol transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1147	ergosterol transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1149	ethanolamine transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1151	fadH2 transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1161	fecosterol transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1165	GDP-mannose antiport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1166	glucose transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1167	glutathione transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1168	glutathione transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1169	glycero-3-phospho-1-inositol transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1170	glycero-3-phosphocholine transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1171	glycerol transport	0.000000	0.000000	0.000000	0.000000	1.003376	5.226696	6.285165	13.274739	0.000000	0.000000	0.000000	0.000000
r_1172	glycerol transport via channel	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1173	glycine transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1174	glycogen vacuolar 'transport' via autophagy	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1175	GTP/GDP translocase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1176	guanine transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1177	inositol transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1178	iron (II) transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1179	iron (II) transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1180	isoamyl acetate transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1181	isobutyl acetate transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1182	isopentenyl diphosphate transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1183	L-alanine transport	0.000000	0.000000	0.000000	0.000000	0.000000	-0.773449	0.000000	-4.073741	0.000000	0.000000	0.000000	0.000000
r_1184	L-arganine transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1185	L-arganine transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1186	L-asparagine transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1187	L-asparagine transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1188	L-aspartate transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1189	L-aspartate transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1190	L-aspartate transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.074466	0.000000	0.000000	0.000000	0.000000
r_1191	L-carnitine transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1192	L-cystine transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1193	L-cystine transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_1194	L-glutamate transport	0.008418	0.064472	0.104715	0.127824	0.017950	0.079850	0.144506	0.177282	0.000284	0.005687	0.041884	0.066753
r_1195	L-glutamate transport	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
